state_code,cve_ent,estado,categoria,variable,valor,anio,fuente,unidad
PUE,21,Puebla,infraestructura_digital,personas_usuarias_internet_pct,78.0,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,infraestructura_digital,personas_usuarias_internet_pct,85.0,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,infraestructura_digital,personas_usuarias_internet_pct,90.69,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,infraestructura_digital,personas_usuarias_internet_pct,79.65,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,infraestructura_digital,personas_usuarias_internet_pct,87.83,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,infraestructura_digital,personas_usuarias_internet_pct,91.34,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,infraestructura_digital,personas_usuarias_internet_pct,83.52,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,infraestructura_digital,personas_usuarias_internet_pct,87.74,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,infraestructura_digital,personas_usuarias_internet_pct,82.23,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,infraestructura_digital,personas_usuarias_internet_pct,77.17,2024,INEGI ENDUTIH 2024,%
YUC,31,Yucatan,infraestructura_digital,personas_usuarias_internet_pct,85.96,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,infraestructura_digital,personas_usuarias_internet_pct,85.05,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,cobertura_red,personas_conexion_internet_movil_pct,43.59,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,cobertura_red,personas_conexion_internet_movil_pct,53.35,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,cobertura_red,personas_conexion_internet_movil_pct,53.45,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,cobertura_red,personas_conexion_internet_movil_pct,52.25,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,cobertura_red,personas_conexion_internet_movil_pct,46.97,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,cobertura_red,personas_conexion_internet_movil_pct,54.48,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,cobertura_red,personas_conexion_internet_movil_pct,33.3,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,cobertura_red,personas_conexion_internet_movil_pct,53.8,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,cobertura_red,personas_conexion_internet_movil_pct,54.21,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,cobertura_red,personas_conexion_internet_movil_pct,54.88,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,cobertura_red,personas_conexion_internet_movil_pct,41.38,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,cobertura_red,personas_conexion_internet_movil_pct,46.51,2024,INEGI ENDUTIH 2024,%
HID,13,Hidalgo,cobertura_red,personas_conexion_internet_movil_pct,54.6,2024,INEGI ENDUTIH 2024,%
JAL,14,Jalisco,cobertura_red,personas_conexion_internet_movil_pct,49.69,2024,INEGI ENDUTIH 2024,%
MEX,15,Mexico,cobertura_red,personas_conexion_internet_movil_pct,37.02,2024,INEGI ENDUTIH 2024,%
MIC,16,Michoacan,cobertura_red,personas_conexion_internet_movil_pct,53.76,2024,INEGI ENDUTIH 2024,%
MOR,17,Morelos,cobertura_red,personas_conexion_internet_movil_pct,46.93,2024,INEGI ENDUTIH 2024,%
NAY,18,Nayarit,cobertura_red,personas_conexion_internet_movil_pct,63.6,2024,INEGI ENDUTIH 2024,%
NLE,19,Nuevo Leon,cobertura_red,personas_conexion_internet_movil_pct,36.51,2024,INEGI ENDUTIH 2024,%
OAX,20,Oaxaca,cobertura_red,personas_conexion_internet_movil_pct,39.44,2024,INEGI ENDUTIH 2024,%
PUE,21,Puebla,cobertura_red,personas_conexion_internet_movil_pct,43.36,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,cobertura_red,personas_conexion_internet_movil_pct,41.7,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,cobertura_red,personas_conexion_internet_movil_pct,54.43,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,cobertura_red,personas_conexion_internet_movil_pct,57.48,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,cobertura_red,personas_conexion_internet_movil_pct,59.04,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,cobertura_red,personas_conexion_internet_movil_pct,67.11,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,cobertura_red,personas_conexion_internet_movil_pct,54.0,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,cobertura_red,personas_conexion_internet_movil_pct,42.64,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,cobertura_red,personas_conexion_internet_movil_pct,55.56,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,cobertura_red,personas_conexion_internet_movil_pct,48.39,2024,INEGI ENDUTIH 2024,%
YUC,31,Yucatan,cobertura_red,personas_conexion_internet_movil_pct,55.41,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,cobertura_red,personas_conexion_internet_movil_pct,55.99,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,infraestructura_digital,personas_usan_redes_sociales_pct,77.26,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,infraestructura_digital,personas_usan_redes_sociales_pct,76.41,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,infraestructura_digital,personas_usan_redes_sociales_pct,83.6,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,infraestructura_digital,personas_usan_redes_sociales_pct,76.19,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,infraestructura_digital,personas_usan_redes_sociales_pct,79.81,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,infraestructura_digital,personas_usan_redes_sociales_pct,80.23,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,infraestructura_digital,personas_usan_redes_sociales_pct,57.44,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,infraestructura_digital,personas_usan_redes_sociales_pct,78.36,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,infraestructura_digital,personas_usan_redes_sociales_pct,81.47,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,infraestructura_digital,personas_usan_redes_sociales_pct,76.22,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,infraestructura_digital,personas_usan_redes_sociales_pct,67.21,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,infraestructura_digital,personas_usan_redes_sociales_pct,71.72,2024,INEGI ENDUTIH 2024,%
HID,13,Hidalgo,infraestructura_digital,personas_usan_redes_sociales_pct,73.93,2024,INEGI ENDUTIH 2024,%
JAL,14,Jalisco,infraestructura_digital,personas_usan_redes_sociales_pct,79.3,2024,INEGI ENDUTIH 2024,%
MEX,15,Mexico,infraestructura_digital,personas_usan_redes_sociales_pct,78.04,2024,INEGI ENDUTIH 2024,%
MIC,16,Michoacan,infraestructura_digital,personas_usan_redes_sociales_pct,72.91,2024,INEGI ENDUTIH 2024,%
MOR,17,Morelos,infraestructura_digital,personas_usan_redes_sociales_pct,74.89,2024,INEGI ENDUTIH 2024,%
NAY,18,Nayarit,infraestructura_digital,personas_usan_redes_sociales_pct,76.31,2024,INEGI ENDUTIH 2024,%
NLE,19,Nuevo Leon,infraestructura_digital,personas_usan_redes_sociales_pct,76.8,2024,INEGI ENDUTIH 2024,%
OAX,20,Oaxaca,infraestructura_digital,personas_usan_redes_sociales_pct,61.43,2024,INEGI ENDUTIH 2024,%
PUE,21,Puebla,infraestructura_digital,personas_usan_redes_sociales_pct,71.45,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,infraestructura_digital,personas_usan_redes_sociales_pct,74.18,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,infraestructura_digital,personas_usan_redes_sociales_pct,81.97,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,infraestructura_digital,personas_usan_redes_sociales_pct,72.59,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,infraestructura_digital,personas_usan_redes_sociales_pct,81.72,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,infraestructura_digital,personas_usan_redes_sociales_pct,86.45,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,infraestructura_digital,personas_usan_redes_sociales_pct,77.1,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,infraestructura_digital,personas_usan_redes_sociales_pct,82.0,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,infraestructura_digital,personas_usan_redes_sociales_pct,75.8,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,infraestructura_digital,personas_usan_redes_sociales_pct,69.28,2024,INEGI ENDUTIH 2024,%
YUC,31,Yucatan,infraestructura_digital,personas_usan_redes_sociales_pct,78.38,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,infraestructura_digital,personas_usan_redes_sociales_pct,77.5,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,infraestructura_digital,personas_compras_internet_pct,39.1,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,infraestructura_digital,personas_compras_internet_pct,31.76,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,infraestructura_digital,personas_compras_internet_pct,38.62,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,infraestructura_digital,personas_compras_internet_pct,24.95,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,infraestructura_digital,personas_compras_internet_pct,37.48,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,infraestructura_digital,personas_compras_internet_pct,38.22,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,infraestructura_digital,personas_compras_internet_pct,14.85,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,infraestructura_digital,personas_compras_internet_pct,40.01,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,infraestructura_digital,personas_compras_internet_pct,39.28,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,infraestructura_digital,personas_compras_internet_pct,31.64,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,infraestructura_digital,personas_compras_internet_pct,26.98,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,infraestructura_digital,personas_compras_internet_pct,20.88,2024,INEGI ENDUTIH 2024,%
HID,13,Hidalgo,infraestructura_digital,personas_compras_internet_pct,27.45,2024,INEGI ENDUTIH 2024,%
