,PC1,PC2,PC3
personas_usuarias_internet_pct,0.2472562487574973,-0.035100993225788635,0.058745123522921
personas_con_smartphone_pct,0.23670142194048877,-0.017314179667832108,0.07185223732468904
personas_banca_electronica_pct,0.22601024424644484,0.03445638909182069,-0.15285437504377153
personas_pagos_internet_pct,0.2928503785617245,-0.09032839739539048,-0.022948355800835922
teledensidad_internet_movil,0.17296559109852253,-0.029774978362579148,0.15890380400905998
poblacion_en_localidades_con_4g_garantizada_pct,0.251488010375468,0.18141712707087826,-0.0456003727689333
int_avg_speed,0.2475542723599377,0.035111396951494706,0.06866228052378606
pobreza_pct,-0.28475516290019776,0.11224277634607388,0.057451245918172335
rezago_educativo_pct,-0.2703196087106161,0.013212928730041073,-0.03434032818352478
ingreso_inferior_lp_pct,-0.2813473180958183,0.1289453490085739,0.05015996458046896
poblacion_afiliada_imss_pct,0.26960323092389876,-0.09853378454844379,-0.08598745580296094
pib_per_capita,0.1791874059820967,-0.09477321004044029,0.023022234892503303
gini_pob_pct_4g,-0.2660866867034026,-0.20373149441996888,0.03219447530170048
mean_graproes,0.24173897932967822,0.06308175145391628,0.11072848619506666
p10_pob_pct_4g,0.1291384693754235,0.21818258520239112,-0.009561386795565802
