,PC1,PC2,PC3
personas_usuarias_internet_pct,0.24839646724049988,-0.04115265118063096,0.05764554412936315
personas_con_smartphone_pct,0.23690092554369524,-0.01884252072968251,0.07179764010520515
personas_banca_electronica_pct,0.2282312291147514,0.03163599577076068,-0.15575415084293837
personas_pagos_internet_pct,0.29747148566077486,-0.08654833766208253,-0.023563193919068203
teledensidad_internet_movil,0.17445345936443316,-0.036393879407742524,0.15754290144584326
poblacion_en_localidades_con_4g_garantizada_pct,0.254443966793614,0.17701141811176088,-0.045064081822631885
int_avg_speed,0.2515210433661008,0.060086631057316695,0.07526488528695521
pobreza_pct,-0.28910403686482805,0.10589759913890945,0.058177606515840016
rezago_educativo_pct,-0.2742020104781971,0.02718684466670304,-0.03174464574838584
ingreso_inferior_lp_pct,-0.28500398376001285,0.11743378605581666,0.049716797607434755
poblacion_afiliada_imss_pct,0.2726990931909128,-0.0982101365656467,-0.08848709679636248
pib_per_capita,0.1808960118626043,-0.08491120349710185,0.02609159777955679
gini_pob_pct_4g,-0.2693099713969535,-0.19925450246317122,0.031179632305843998
mean_graproes,0.2441119790906185,0.05016559753969736,0.1108087263455324
p10_pob_pct_4g,0.12614247539939494,0.21548408681337658,-0.005364617654563751
